dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,gpt-3.5-turbo,GPT4o-mini,1.0278673064128625,2.7950983851887705,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-1.4565115444583945,0.23304783537290139,True,100
faithfulness,gpt-3.5-turbo,checkpoint-10000-inputs-refs-preds-1000-examples,0.3264643081954185,1.3860587779411038,True,100
faithfulness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,-0.3317975373969748,0.7176326019117578,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,-0.35828912223295606,0.698870986653606,True,100
faithfulness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,1.7738065361185416,5.893243564271729,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3000-inputs-refs-preds-1000-examples,0.3564588784175945,1.4282627968847654,True,100
faithfulness,gpt-3.5-turbo,checkpoint-3500-inputs-refs-preds-1000-examples,-2.0733924845947724,0.1257584236971244,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4000-inputs-refs-preds-1000-examples,0.10836035732176064,1.1144492729906694,True,100
faithfulness,gpt-3.5-turbo,checkpoint-4500-inputs-refs-preds-1000-examples,0.02638374636225005,1.0267348786586505,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5000-inputs-refs-preds-1000-examples,1.5000374452092515,4.481856891265129,True,100
faithfulness,gpt-3.5-turbo,checkpoint-5500-inputs-refs-preds-1000-examples,0.11948233498889782,1.1269133369547681,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6000-inputs-refs-preds-1000-examples,-0.04523418125687817,0.9557736313530483,True,100
faithfulness,gpt-3.5-turbo,checkpoint-6500-inputs-refs-preds-1000-examples,0.7468159264147682,2.1102700528156997,True,100
faithfulness,gpt-3.5-turbo,checkpoint-7000-inputs-refs-preds-1000-examples,-0.5907640062089055,0.5539039369879502,True,100
