dimension,judge,model,beta,theta,optimizer_success,n_comparisons
relevance,gpt-5-mini,GPT4o-mini,0.4876842596623288,1.6285405728374496,True,15000
relevance,gpt-5-mini,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.11335250685853543,0.8928358738680345,True,15000
relevance,gpt-5-mini,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,0.17714252297638855,1.1938012251068113,True,15000
relevance,gpt-5-mini,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.551474275780182,0.5760998539377086,True,15000
relevance,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,0.5729723794839808,1.773530831239693,True,15000
relevance,google/gemini-2.5-flash-preview-05-20,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.08639402378642702,0.9172327484878363,True,15000
relevance,google/gemini-2.5-flash-preview-05-20,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,0.023552821423610593,1.0238323796021849,True,15000
relevance,google/gemini-2.5-flash-preview-05-20,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.5101311771211644,0.6004168126972345,True,15000
relevance,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,0.6417976254326732,1.8998931076014798,True,15000
relevance,anthropic/claude-3-5-haiku-20241022,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.19810435598659382,0.820284247099264,True,15000
relevance,anthropic/claude-3-5-haiku-20241022,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,0.05595543790394375,1.0575505560171026,True,15000
relevance,anthropic/claude-3-5-haiku-20241022,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.4996487073500233,0.6067437669046796,True,15000
relevance,mistral-medium-latest,GPT4o-mini,0.5543175667611635,1.7407526318778515,True,15000
relevance,mistral-medium-latest,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.15551762369226818,0.8559719914090315,True,15000
relevance,mistral-medium-latest,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,0.0629309844246207,1.0649533383275842,True,15000
relevance,mistral-medium-latest,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.46173092749351596,0.6301918844409201,True,15000
consistency,gpt-5-mini,GPT4o-mini,0.5045984228308734,1.6563202464946187,True,15000
consistency,gpt-5-mini,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.062413058831398804,0.939494740033461,True,15000
consistency,gpt-5-mini,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,-0.14954532907358886,0.8610994042967618,True,15000
consistency,gpt-5-mini,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.29264003492588575,0.7462907309510435,True,15000
consistency,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,0.5832041754480943,1.7917703894358374,True,15000
consistency,google/gemini-2.5-flash-preview-05-20,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.0933593977062126,0.9108660782831028,True,15000
consistency,google/gemini-2.5-flash-preview-05-20,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,-0.18593255230205796,0.8303295969131558,True,15000
consistency,google/gemini-2.5-flash-preview-05-20,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.30391222543982366,0.7379256347060762,True,15000
consistency,anthropic/claude-3-5-haiku-20241022,GPT4o-mini,0.6063631300005403,1.8337501458298655,True,15000
consistency,anthropic/claude-3-5-haiku-20241022,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.12125294077159043,0.8858098738208896,True,15000
consistency,anthropic/claude-3-5-haiku-20241022,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,-0.06093671861489991,0.940882778257576,True,15000
consistency,anthropic/claude-3-5-haiku-20241022,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.42417347061404964,0.6543103684421251,True,15000
consistency,mistral-medium-latest,GPT4o-mini,0.6307314160470527,1.8789843961267367,True,15000
consistency,mistral-medium-latest,gemma-2-9b__checkpoint-2500-gen0-inputs-refs-preds-2500-examples,-0.12023941224182089,0.886708122523409,True,15000
consistency,mistral-medium-latest,gpt-4o-mini-elaborate__inputs-refs-preds-2500-examples,-0.09843261572028428,0.9062567580157,True,15000
consistency,mistral-medium-latest,viking-13b__checkpoint-3500-gen0-inputs-refs-preds-2500-examples,-0.41205938808494724,0.6622849430497209,True,15000
