doc_id,source_text,model_id,summary_text,reference_summary
doc_1,The city council approved a plan to add 20 electric buses and reduce fares for students.,ft_model_A,ft_model_A: The city council approved a plan to add 20 electric buses and reduce fares for s...,The council approved electric buses and student fare reductions.
doc_1,The city council approved a plan to add 20 electric buses and reduce fares for students.,ft_model_B,ft_model_B: The city council approved a plan to add 20 electric buses and reduce fares for s...,The council approved electric buses and student fare reductions.
doc_1,The city council approved a plan to add 20 electric buses and reduce fares for students.,ft_model_C,ft_model_C: The city council approved a plan to add 20 electric buses and reduce fares for s...,The council approved electric buses and student fare reductions.
doc_1,The city council approved a plan to add 20 electric buses and reduce fares for students.,ft_model_D,ft_model_D: The city council approved a plan to add 20 electric buses and reduce fares for s...,The council approved electric buses and student fare reductions.
doc_1,The city council approved a plan to add 20 electric buses and reduce fares for students.,ft_model_E,ft_model_E: The city council approved a plan to add 20 electric buses and reduce fares for s...,The council approved electric buses and student fare reductions.
doc_2,A new study shows that regular exercise reduces the risk of heart disease by 30%.,ft_model_A,ft_model_A: A new study shows that regular exercise reduces the risk of heart disease by 30%...,Exercise significantly lowers heart disease risk.
doc_2,A new study shows that regular exercise reduces the risk of heart disease by 30%.,ft_model_B,ft_model_B: A new study shows that regular exercise reduces the risk of heart disease by 30%...,Exercise significantly lowers heart disease risk.
doc_2,A new study shows that regular exercise reduces the risk of heart disease by 30%.,ft_model_C,ft_model_C: A new study shows that regular exercise reduces the risk of heart disease by 30%...,Exercise significantly lowers heart disease risk.
doc_2,A new study shows that regular exercise reduces the risk of heart disease by 30%.,ft_model_D,ft_model_D: A new study shows that regular exercise reduces the risk of heart disease by 30%...,Exercise significantly lowers heart disease risk.
doc_2,A new study shows that regular exercise reduces the risk of heart disease by 30%.,ft_model_E,ft_model_E: A new study shows that regular exercise reduces the risk of heart disease by 30%...,Exercise significantly lowers heart disease risk.
doc_3,The company announced a new AI-powered product aimed at improving customer support.,ft_model_A,ft_model_A: The company announced a new AI-powered product aimed at improving customer suppo...,A company launched an AI tool for customer support.
doc_3,The company announced a new AI-powered product aimed at improving customer support.,ft_model_B,ft_model_B: The company announced a new AI-powered product aimed at improving customer suppo...,A company launched an AI tool for customer support.
doc_3,The company announced a new AI-powered product aimed at improving customer support.,ft_model_C,ft_model_C: The company announced a new AI-powered product aimed at improving customer suppo...,A company launched an AI tool for customer support.
doc_3,The company announced a new AI-powered product aimed at improving customer support.,ft_model_D,ft_model_D: The company announced a new AI-powered product aimed at improving customer suppo...,A company launched an AI tool for customer support.
doc_3,The company announced a new AI-powered product aimed at improving customer support.,ft_model_E,ft_model_E: The company announced a new AI-powered product aimed at improving customer suppo...,A company launched an AI tool for customer support.
doc_4,"Heavy rainfall caused flooding in several مناطق, displacing hundreds of residents.",ft_model_A,"ft_model_A: Heavy rainfall caused flooding in several مناطق, displacing hundreds of resident...",Flooding displaced residents after heavy rainfall.
doc_4,"Heavy rainfall caused flooding in several مناطق, displacing hundreds of residents.",ft_model_B,"ft_model_B: Heavy rainfall caused flooding in several مناطق, displacing hundreds of resident...",Flooding displaced residents after heavy rainfall.
doc_4,"Heavy rainfall caused flooding in several مناطق, displacing hundreds of residents.",ft_model_C,"ft_model_C: Heavy rainfall caused flooding in several مناطق, displacing hundreds of resident...",Flooding displaced residents after heavy rainfall.
doc_4,"Heavy rainfall caused flooding in several مناطق, displacing hundreds of residents.",ft_model_D,"ft_model_D: Heavy rainfall caused flooding in several مناطق, displacing hundreds of resident...",Flooding displaced residents after heavy rainfall.
doc_4,"Heavy rainfall caused flooding in several مناطق, displacing hundreds of residents.",ft_model_E,"ft_model_E: Heavy rainfall caused flooding in several مناطق, displacing hundreds of resident...",Flooding displaced residents after heavy rainfall.
doc_5,Scientists discovered a new species of marine الحياة in the Pacific Ocean.,ft_model_A,ft_model_A: Scientists discovered a new species of marine الحياة in the Pacific Ocean....,A new marine species was discovered in the Pacific.
doc_5,Scientists discovered a new species of marine الحياة in the Pacific Ocean.,ft_model_B,ft_model_B: Scientists discovered a new species of marine الحياة in the Pacific Ocean....,A new marine species was discovered in the Pacific.
doc_5,Scientists discovered a new species of marine الحياة in the Pacific Ocean.,ft_model_C,ft_model_C: Scientists discovered a new species of marine الحياة in the Pacific Ocean....,A new marine species was discovered in the Pacific.
doc_5,Scientists discovered a new species of marine الحياة in the Pacific Ocean.,ft_model_D,ft_model_D: Scientists discovered a new species of marine الحياة in the Pacific Ocean....,A new marine species was discovered in the Pacific.
doc_5,Scientists discovered a new species of marine الحياة in the Pacific Ocean.,ft_model_E,ft_model_E: Scientists discovered a new species of marine الحياة in the Pacific Ocean....,A new marine species was discovered in the Pacific.
