dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,gpt-3.5-turbo,GPT4o-mini,0.8235473102403168,2.2785683070783076,True,400
faithfulness,gpt-3.5-turbo,checkpoint-1000-inputs-refs-preds-1000-examples,-0.2775941438961913,0.7576042374308354,True,400
faithfulness,gpt-3.5-turbo,checkpoint-10000-inputs-refs-preds-1000-examples,-0.2694177403977882,0.7638241088055229,True,400
faithfulness,gpt-3.5-turbo,checkpoint-1500-inputs-refs-preds-1000-examples,0.03275547626434494,1.0332978424988968,True,400
faithfulness,gpt-3.5-turbo,checkpoint-2000-inputs-refs-preds-1000-examples,0.3774851347609915,1.4586117610207194,True,400
faithfulness,gpt-3.5-turbo,checkpoint-2500-inputs-refs-preds-1000-examples,0.20087092118206595,1.2224669670478494,True,400
faithfulness,gpt-3.5-turbo,checkpoint-3000-inputs-refs-preds-1000-examples,0.4273737634732278,1.5332256183745803,True,400
faithfulness,gpt-3.5-turbo,checkpoint-3500-inputs-refs-preds-1000-examples,-0.7079855816809157,0.492635572725809,True,400
faithfulness,gpt-3.5-turbo,checkpoint-4000-inputs-refs-preds-1000-examples,0.24642705684334032,1.2794458529944512,True,400
faithfulness,gpt-3.5-turbo,checkpoint-4500-inputs-refs-preds-1000-examples,0.12939597806965064,1.1381407137108608,True,400
faithfulness,gpt-3.5-turbo,checkpoint-5000-inputs-refs-preds-1000-examples,0.30606131872296793,1.3580655788417924,True,400
faithfulness,gpt-3.5-turbo,checkpoint-5500-inputs-refs-preds-1000-examples,-0.05164475298185234,0.9496661730020333,True,400
faithfulness,gpt-3.5-turbo,checkpoint-6000-inputs-refs-preds-1000-examples,-0.24845631089464226,0.7800039377649485,True,400
faithfulness,gpt-3.5-turbo,checkpoint-6500-inputs-refs-preds-1000-examples,0.34145401011364435,1.4069918844212244,True,400
faithfulness,gpt-3.5-turbo,checkpoint-7000-inputs-refs-preds-1000-examples,-0.01627273402174212,0.9838589516516407,True,400
faithfulness,gpt-3.5-turbo,checkpoint-7500-inputs-refs-preds-1000-examples,-0.2837219695998898,0.7529759658150809,True,400
faithfulness,gpt-3.5-turbo,checkpoint-8000-inputs-refs-preds-1000-examples,-0.15307904986843357,0.8580618894508906,True,400
faithfulness,gpt-3.5-turbo,checkpoint-8500-inputs-refs-preds-1000-examples,-0.6913145932175679,0.5009171337783921,True,400
faithfulness,gpt-3.5-turbo,checkpoint-9000-inputs-refs-preds-1000-examples,-0.16162501212841174,0.8507601694776884,True,400
faithfulness,gpt-3.5-turbo,checkpoint-9500-inputs-refs-preds-1000-examples,-0.02425908098311591,0.976032805459185,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,GPT4o-mini,1.0474723033818976,2.8504369644332708,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1000-inputs-refs-preds-1000-examples,-0.12004572904219901,0.8868798796224053,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-10000-inputs-refs-preds-1000-examples,-0.14853108004902937,0.861973216584341,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-1500-inputs-refs-preds-1000-examples,0.36169066683072315,1.4357547466956297,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2000-inputs-refs-preds-1000-examples,0.09826624170992315,1.1032564789014305,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-2500-inputs-refs-preds-1000-examples,0.10719317880971069,1.113149270561499,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-3000-inputs-refs-preds-1000-examples,-0.16364152191926729,0.8490463318322126,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-3500-inputs-refs-preds-1000-examples,-0.20102372973834837,0.8178930229361484,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-4000-inputs-refs-preds-1000-examples,-0.07891721278500508,0.9241164263036199,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-4500-inputs-refs-preds-1000-examples,0.38656478641799463,1.471915754126731,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-5000-inputs-refs-preds-1000-examples,-0.6104880660829162,0.5430857426490524,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-5500-inputs-refs-preds-1000-examples,-0.4285513757116246,0.6514521208781254,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-6000-inputs-refs-preds-1000-examples,-0.19170212460634262,0.8255527437182945,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-6500-inputs-refs-preds-1000-examples,0.45109711472274505,1.5700337480818818,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-7000-inputs-refs-preds-1000-examples,-0.007093916010895374,0.9929311864180417,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-7500-inputs-refs-preds-1000-examples,-0.17963779591362394,0.8355728044919905,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-8000-inputs-refs-preds-1000-examples,-0.31585871903241647,0.729162459668639,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-8500-inputs-refs-preds-1000-examples,0.10607902246338974,1.111909738881568,True,400
faithfulness,google/gemini-2.5-flash-preview-05-20,checkpoint-9000-inputs-refs-preds-1000-examples,-0.17807052554447944,0.8368833997500187,True,400
