dimension,judge,model,beta,theta,optimizer_success,n_comparisons
relevance,gpt-5-mini,GPT4o-mini,8.764028385945214e-06,1.00000876406679,True,87
relevance,gpt-5-mini,checkpoint-1000-gen1-inputs-refs-preds-1000-examples,-1.077841031131129,0.34032949383495653,True,87
relevance,gpt-5-mini,checkpoint-1000-inputs-refs-preds-1000-examples,8.764028385945214e-06,1.00000876406679,True,87
relevance,gpt-5-mini,checkpoint-10000-gen1-inputs-refs-preds-1000-examples,-0.15002605770887723,0.8606855486393894,True,87
relevance,gpt-5-mini,checkpoint-10000-inputs-refs-preds-1000-examples,0.5670668132946195,1.763087993312326,True,87
relevance,gpt-5-mini,checkpoint-1500-gen1-inputs-refs-preds-1000-examples,-1.2286886920730256,0.292676114667555,True,87
relevance,gpt-5-mini,checkpoint-1500-inputs-refs-preds-1000-examples,-2.1494497662092944,0.11654826892963054,True,87
relevance,gpt-5-mini,checkpoint-2000-gen1-inputs-refs-preds-1000-examples,-0.7144854998230724,0.4894438659826355,True,87
relevance,gpt-5-mini,checkpoint-2000-inputs-refs-preds-1000-examples,-0.17157941350398845,0.8423333727192103,True,87
relevance,gpt-5-mini,checkpoint-2500-gen1-inputs-refs-preds-1000-examples,-0.18643971016362093,0.8299085954965056,True,87
relevance,gpt-5-mini,checkpoint-2500-inputs-refs-preds-1000-examples,8.764028385945214e-06,1.00000876406679,True,87
relevance,gpt-5-mini,checkpoint-3000-gen1-inputs-refs-preds-1000-examples,0.5316056219992281,1.7016623428234496,True,87
relevance,gpt-5-mini,checkpoint-3000-inputs-refs-preds-1000-examples,8.764028385945214e-06,1.00000876406679,True,87
relevance,gpt-5-mini,checkpoint-3500-gen1-inputs-refs-preds-1000-examples,-0.9795469033608556,0.3754811895797815,True,87
relevance,gpt-5-mini,checkpoint-3500-inputs-refs-preds-1000-examples,18.433523647115273,101292572.74319573,True,87
relevance,gpt-5-mini,checkpoint-4000-gen1-inputs-refs-preds-1000-examples,-1.2287044759738441,0.29267149513324636,True,87
