model,n_pairwise_human,win_rate_human,n_pairwise_llm,win_rate_llm_pooled
GPT4o-mini,0,,1224,0.6535947712418301
eurollm-9B-Instruct-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1263,0.384006334125099
gemma-2-9b-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1314,0.5924657534246576
gemma-2b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1179,0.5415606446140797
gemma-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1281,0.3708040593286495
llama-2-13b-chat-norwegian-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1194,0.5644891122278057
llama-3.1-8b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1218,0.6128899835796388
nb-gpt-j-6b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1200,0.3475
normistral-11b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1077,0.5891364902506964
normistral-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1122,0.46568627450980393
normistral-7b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1281,0.4679937548790008
norskgpt-llama3-8b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0,,1119,0.4155495978552279
