Model,LoRA Rank (r),Target Modules,Number of Modules,Estimated Trainable Parameters (%),LoRA Alpha,Architecture,Notes
gemma-2b,8,"q_proj, v_proj",2,0.15-0.25%,32,gemma,Small model with 2 attention modules
gemma-7b,8,"q_proj, v_proj",2,0.15-0.25%,32,gemma,Medium model with 2 attention modules
gemma-2-9b,8,"q_proj, v_proj",2,0.15-0.25%,32,gemma,Medium-large model with 2 attention modules
gemma-2-27b,16,"q_proj, v_proj",2,0.3-0.5%,32,gemma,Large model with increased rank for better adaptation
gemma-3-12b,16,"q_proj, v_proj",2,0.3-0.5%,32,gemma,Large model with increased rank
gemma-3-27b,16,"q_proj, v_proj",2,0.3-0.5%,32,gemma,Very large model with increased rank
viking-7b,8,"q_proj, v_proj, k_proj, o_proj",4,0.3-0.5%,16,mistral,Mistral-based with 4 attention modules
viking-13b,8,"q_proj, v_proj, k_proj, o_proj",4,0.3-0.5%,16,mistral,Mistral-based with 4 attention modules
viking-33b,16,"q_proj, v_proj, k_proj, o_proj",4,0.6-1.0%,32,mistral,Very large Mistral-based model
normistral-7b,16,"q_proj, v_proj, k_proj, o_proj",4,0.6-1.0%,32,mistral,Norwegian Mistral with increased rank
normistral-11b,16,"q_proj, v_proj, k_proj, o_proj",4,0.6-1.0%,32,mistral,Norwegian Mistral with increased rank
norskgpt-llama3-8b,16,"q_proj, v_proj, k_proj, o_proj",4,0.6-1.0%,32,llama,Llama-3 based Norwegian model
llama-2-13b-chat-norwegian,16,"q_proj, v_proj, k_proj, o_proj",4,0.6-1.0%,32,llama,Llama-2 Norwegian chat model
mt5,8,N/A,0,N/A,16,mt5,Special architecture - different fine-tuning approach
