dimension,judge,model,beta,theta,optimizer_success,n_comparisons
faithfulness,google/gemma-3-4b,GPT4o-mini,0.4026889430270552,1.4958415273524246,True,2412
faithfulness,google/gemma-3-4b,eurollm-9B-Instruct-checkpoint-5000-inputs-refs-preds-examples_1000,-0.3185776905477548,0.7271825805479508,True,2412
faithfulness,google/gemma-3-4b,gemma-2-9b-checkpoint-5000-inputs-refs-preds-examples_1000,0.11838501938672041,1.1256774355787698,True,2412
faithfulness,google/gemma-3-4b,gemma-2b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.3300276017686001,1.3910065221740568,True,2412
faithfulness,google/gemma-3-4b,gemma-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.33833047364159935,0.7129596345950664,True,2412
faithfulness,google/gemma-3-4b,llama-2-13b-chat-norwegian-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.1584127544504715,1.1716496985440925,True,2412
faithfulness,google/gemma-3-4b,llama-3.1-8b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.25231201934948677,1.2869975427789306,True,2412
faithfulness,google/gemma-3-4b,nb-gpt-j-6b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.2938174083532679,0.745412585129539,True,2412
faithfulness,google/gemma-3-4b,normistral-11b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.19451811294735866,1.2147254849445457,True,2412
faithfulness,google/gemma-3-4b,normistral-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.24614604462333728,0.7818080377270751,True,2412
faithfulness,google/gemma-3-4b,normistral-7b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.014555610232870442,0.9855498105539784,True,2412
faithfulness,google/gemma-3-4b,norskgpt-llama3-8b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.2449172235308626,0.7827693304415194,True,2412
correctness,google/gemma-3-4b,GPT4o-mini,0.8157160006138146,2.260793822747028,True,2412
correctness,google/gemma-3-4b,eurollm-9B-Instruct-checkpoint-5000-inputs-refs-preds-examples_1000,-0.46542006045822004,0.6278713058792393,True,2412
correctness,google/gemma-3-4b,gemma-2-9b-checkpoint-5000-inputs-refs-preds-examples_1000,0.6045841233065067,1.830490792110909,True,2412
correctness,google/gemma-3-4b,gemma-2b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.2584833129022499,1.2949645404727028,True,2412
correctness,google/gemma-3-4b,gemma-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.5834039764897992,0.557995725798323,True,2412
correctness,google/gemma-3-4b,llama-2-13b-chat-norwegian-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.272815474376211,1.313657818930049,True,2412
correctness,google/gemma-3-4b,llama-3.1-8b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.5063896723966947,1.6592897882181752,True,2412
correctness,google/gemma-3-4b,nb-gpt-j-6b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.6985359411710163,0.4973128663570089,True,2412
correctness,google/gemma-3-4b,normistral-11b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.2800119057711409,1.3231455653119477,True,2412
correctness,google/gemma-3-4b,normistral-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.21346320058337998,0.8077818855057645,True,2412
correctness,google/gemma-3-4b,normistral-7b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.2839535977876301,0.7528015755543369,True,2412
correctness,google/gemma-3-4b,norskgpt-llama3-8b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.4932237128765725,0.6106546424772296,True,2412
completeness,google/gemma-3-4b,GPT4o-mini,0.6852550194349926,1.9842778004225103,True,2412
completeness,google/gemma-3-4b,eurollm-9B-Instruct-checkpoint-5000-inputs-refs-preds-examples_1000,-0.6297986394882052,0.5326990547624988,True,2412
completeness,google/gemma-3-4b,gemma-2-9b-checkpoint-5000-inputs-refs-preds-examples_1000,0.38133004616454774,1.4642307894248894,True,2412
completeness,google/gemma-3-4b,gemma-2b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.09769501849256279,0.9069254570729846,True,2412
completeness,google/gemma-3-4b,gemma-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.6054750754761408,0.545815061685308,True,2412
completeness,google/gemma-3-4b,llama-2-13b-chat-norwegian-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.2955736199649825,1.3438970237944279,True,2412
completeness,google/gemma-3-4b,llama-3.1-8b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.6115933188897271,1.8433661302552513,True,2412
completeness,google/gemma-3-4b,nb-gpt-j-6b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.851878750821324,0.426612679646344,True,2412
completeness,google/gemma-3-4b,normistral-11b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,0.7281562862968584,2.071258277846335,True,2412
completeness,google/gemma-3-4b,normistral-7b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.01963348420482225,0.9805579974478987,True,2412
completeness,google/gemma-3-4b,normistral-7b-instruct-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.0935252318725257,0.9107150380905462,True,2412
completeness,google/gemma-3-4b,norskgpt-llama3-8b-apptainer-checkpoint-5000-inputs-refs-preds-examples_1000,-0.4039020903955276,0.6677094932409904,True,2412
